workdir/satlib/uf50-218/uf50-0197,	4,	4,	0m11.329s,	0m11.297s,	0m0.030s,	0m11.678s,	0m11.640s,	0m0.037s,	205,	204
workdir/satlib/uf50-218/uf50-0198,	702,	702,	0m14.652s,	0m14.620s,	0m0.030s,	0m8.764s,	0m8.707s,	0m0.050s,	209,	208
workdir/satlib/uf50-218/uf50-0199,	209,	209,	0m15.383s,	0m15.343s,	0m0.037s,	0m9.423s,	0m9.380s,	0m0.033s,	211,	209
workdir/satlib/uf50-218/uf50-019,	12,	12,	0m7.569s,	0m7.547s,	0m0.020s,	0m12.443s,	0m12.383s,	0m0.037s,	199,	209
workdir/satlib/uf50-218/uf50-01,	24,	24,	0m7.978s,	0m7.943s,	0m0.033s,	0m4.479s,	0m4.453s,	0m0.023s,	204,	209
workdir/satlib/uf50-218/uf50-0200,	48,	48,	0m13.174s,	0m13.130s,	0m0.040s,	0m19.598s,	0m19.507s,	0m0.053s,	206,	207
workdir/satlib/uf50-218/uf50-0201,	142,	142,	0m16.756s,	0m16.710s,	0m0.040s,	0m14.032s,	0m13.993s,	0m0.037s,	208,	209
workdir/satlib/uf50-218/uf50-0202,	24,	24,	0m5.681s,	0m5.653s,	0m0.017s,	0m11.239s,	0m11.197s,	0m0.040s,	205,	213
workdir/satlib/uf50-218/uf50-0203,	6,	6,	0m8.199s,	0m8.140s,	0m0.047s,	0m7.256s,	0m7.200s,	0m0.053s,	208,	208
workdir/satlib/uf50-218/uf50-0204,	4,	4,	0m7.370s,	0m7.343s,	0m0.013s,	0m14.281s,	0m14.240s,	0m0.037s,	202,	204
workdir/satlib/uf50-218/uf50-0205,	237,	237,	0m10.933s,	0m10.900s,	0m0.027s,	0m13.039s,	0m13.003s,	0m0.033s,	203,	207
workdir/satlib/uf50-218/uf50-0206,	2558,	2558,	0m15.988s,	0m15.903s,	0m0.060s,	0m9.012s,	0m8.990s,	0m0.020s,	208,	211
workdir/satlib/uf50-218/uf50-0207,	552,	552,	0m19.479s,	0m19.410s,	0m0.047s,	0m19.843s,	0m19.777s,	0m0.063s,	210,	208
workdir/satlib/uf50-218/uf50-0208,	20,	20,	0m2.487s,	0m2.477s,	0m0.007s,	0m7.496s,	0m7.450s,	0m0.043s,	201,	208
workdir/satlib/uf50-218/uf50-0209,	10,	10,	0m21.094s,	0m21.037s,	0m0.053s,	0m11.008s,	0m10.950s,	0m0.053s,	208,	205
workdir/satlib/uf50-218/uf50-020,	195,	195,	0m5.558s,	0m5.537s,	0m0.017s,	0m8.073s,	0m8.037s,	0m0.023s,	207,	208
workdir/satlib/uf50-218/uf50-0210,	83,	83,	0m11.156s,	0m11.100s,	0m0.053s,	0m8.935s,	0m8.873s,	0m0.057s,	211,	207
workdir/satlib/uf50-218/uf50-0211,	22,	22,	0m33.843s,	0m33.777s,	0m0.063s,	0m11.823s,	0m11.773s,	0m0.047s,	209,	206
workdir/satlib/uf50-218/uf50-0212,	158,	158,	0m10.107s,	0m10.047s,	0m0.040s,	0m19.382s,	0m19.273s,	0m0.070s,	207,	210
workdir/satlib/uf50-218/uf50-0213,	183,	183,	0m10.171s,	0m10.120s,	0m0.030s,	0m3.009s,	0m2.987s,	0m0.020s,	204,	201
workdir/satlib/uf50-218/uf50-0214,	70,	70,	0m13.776s,	0m13.710s,	0m0.057s,	0m8.803s,	0m8.763s,	0m0.037s,	211,	205
workdir/satlib/uf50-218/uf50-0215,	128,	128,	0m10.181s,	0m10.153s,	0m0.027s,	0m13.493s,	0m13.423s,	0m0.053s,	201,	200
workdir/satlib/uf50-218/uf50-0216,	124,	124,	0m12.601s,	0m12.563s,	0m0.033s,	0m5.622s,	0m5.580s,	0m0.040s,	211,	208
workdir/satlib/uf50-218/uf50-0217,	3,	3,	0m8.844s,	0m8.820s,	0m0.023s,	0m17.498s,	0m17.447s,	0m0.050s,	200,	200
workdir/satlib/uf50-218/uf50-0218,	288,	288,	0m12.378s,	0m12.340s,	0m0.037s,	0m9.479s,	0m9.430s,	0m0.047s,	213,	211
workdir/satlib/uf50-218/uf50-0219,	144,	144,	0m29.510s,	0m29.397s,	0m0.090s,	0m17.023s,	0m16.963s,	0m0.057s,	212,	206
workdir/satlib/uf50-218/uf50-021,	388,	388,	0m10.683s,	0m10.633s,	0m0.047s,	0m20.450s,	0m20.373s,	0m0.053s,	203,	207
workdir/satlib/uf50-218/uf50-0220,	76,	76,	0m9.825s,	0m9.797s,	0m0.027s,	0m8.883s,	0m8.843s,	0m0.037s,	204,	202
workdir/satlib/uf50-218/uf50-0221,	8,	8,	0m7.360s,	0m7.333s,	0m0.023s,	0m5.592s,	0m5.550s,	0m0.033s,	211,	207
workdir/satlib/uf50-218/uf50-0222,	352,	352,	0m15.783s,	0m15.693s,	0m0.070s,	0m9.840s,	0m9.793s,	0m0.043s,	208,	207
workdir/satlib/uf50-218/uf50-0223,	12,	12,	0m26.396s,	0m26.333s,	0m0.050s,	0m26.304s,	0m26.227s,	0m0.070s,	200,	212
workdir/satlib/uf50-218/uf50-0224,	190,	190,	0m25.915s,	0m25.837s,	0m0.070s,	0m9.377s,	0m9.343s,	0m0.030s,	209,	205
workdir/satlib/uf50-218/uf50-0225,	16,	16,	0m26.559s,	0m26.450s,	0m0.063s,	0m5.004s,	0m4.950s,	0m0.047s,	204,	210
workdir/satlib/uf50-218/uf50-0226,	22,	22,	0m16.437s,	0m16.380s,	0m0.053s,	0m8.828s,	0m8.797s,	0m0.030s,	209,	213
workdir/satlib/uf50-218/uf50-0227,	142,	142,	0m8.686s,	0m8.667s,	0m0.013s,	0m5.440s,	0m5.403s,	0m0.033s,	210,	205
workdir/satlib/uf50-218/uf50-0228,	12,	12,	0m10.551s,	0m10.500s,	0m0.047s,	0m18.524s,	0m18.483s,	0m0.040s,	203,	204
workdir/satlib/uf50-218/uf50-0229,	227,	227,	0m11.120s,	0m11.070s,	0m0.047s,	0m9.935s,	0m9.910s,	0m0.023s,	207,	197
workdir/satlib/uf50-218/uf50-022,	7,	7,	0m6.047s,	0m6.013s,	0m0.023s,	0m9.377s,	0m9.340s,	0m0.033s,	209,	206
workdir/satlib/uf50-218/uf50-0230,	64,	64,	0m16.696s,	0m16.660s,	0m0.030s,	0m4.223s,	0m4.203s,	0m0.017s,	198,	201
workdir/satlib/uf50-218/uf50-0231,	138,	138,	0m10.750s,	0m10.683s,	0m0.050s,	0m9.336s,	0m9.287s,	0m0.043s,	212,	207
workdir/satlib/uf50-218/uf50-0232,	391,	391,	0m8.863s,	0m8.833s,	0m0.027s,	0m14.446s,	0m14.407s,	0m0.037s,	205,	211
workdir/satlib/uf50-218/uf50-0233,	305,	305,	0m4.792s,	0m4.757s,	0m0.033s,	0m4.052s,	0m4.023s,	0m0.020s,	209,	199
workdir/satlib/uf50-218/uf50-0234,	900,	900,	0m9.471s,	0m9.403s,	0m0.050s,	0m5.237s,	0m5.207s,	0m0.027s,	205,	199
workdir/satlib/uf50-218/uf50-0235,	12,	12,	0m12.434s,	0m12.380s,	0m0.037s,	0m23.156s,	0m23.097s,	0m0.057s,	211,	205
workdir/satlib/uf50-218/uf50-0236,	2862,	2862,	0m15.839s,	0m15.790s,	0m0.043s,	0m17.695s,	0m17.623s,	0m0.040s,	207,	206
workdir/satlib/uf50-218/uf50-0237,	796,	796,	0m10.800s,	0m10.767s,	0m0.030s,	0m6.689s,	0m6.630s,	0m0.047s,	212,	200
workdir/satlib/uf50-218/uf50-0238,	1306,	1306,	0m11.645s,	0m11.583s,	0m0.040s,	0m10.697s,	0m10.647s,	0m0.047s,	202,	207
workdir/satlib/uf50-218/uf50-0239,	456,	456,	0m10.539s,	0m10.480s,	0m0.053s,	0m12.722s,	0m12.677s,	0m0.037s,	205,	209
workdir/satlib/uf50-218/uf50-023,	558,	558,	0m12.413s,	0m12.360s,	0m0.030s,	0m12.563s,	0m12.530s,	0m0.030s,	207,	211
workdir/satlib/uf50-218/uf50-0240,	16,	16,	0m11.863s,	0m11.833s,	0m0.027s,	0m7.759s,	0m7.743s,	0m0.013s,	205,	198
workdir/satlib/uf50-218/uf50-0241,	3,	3,	0m5.990s,	0m5.957s,	0m0.030s,	0m7.164s,	0m7.117s,	0m0.033s,	205,	211
workdir/satlib/uf50-218/uf50-0242,	1154,	1154,	0m8.182s,	0m8.143s,	0m0.030s,	0m9.108s,	0m9.050s,	0m0.053s,	208,	207
workdir/satlib/uf50-218/uf50-0243,	81,	81,	0m8.628s,	0m8.590s,	0m0.037s,	0m15.260s,	0m15.193s,	0m0.057s,	209,	212
